taxonomy_version	code	parent_code	level	label	definition
1.0	06.18.36.72.16	06.18.36.72	5	Experiment	Tests a hypothesis or idea in real-time, usually with unexpected or educational results.
1.0	06.18.36.72.19	06.18.36.72	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	06.18.37	06.18	3	Music Production	Content focused on producing, mixing, or engineering music using digital tools.
1.0	06.18.37.73	06.18.37	4	Beat Making	Demonstrates rhythm creation, sampling, or drum programming using production software.
1.0	06.18.37.73.13	06.18.37.73	5	Demo	Explores a topic in high detail, usually beyond surface-level information.
1.0	06.18.37.73.56	06.18.37.73	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	06.18.37.74	06.18.37	4	Mixing Techniques	Shows how to balance and enhance recorded tracks for clarity, style, and polish.
1.0	06.18.37.74.52	06.18.37.74	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	06.18.37.74.60	06.18.37.74	5	Walkthrough	Leads the viewer through a process, system, or game with detailed explanation.
1.0	06.19	06	2	Writing & Storytelling	Content centered around narrative structure, fiction, prose, and literary development.
1.0	06.19.38	06.19	3	Fiction Writing	Story-driven writing content covering fiction techniques, structure, or worldbuilding.
1.0	06.19.38.75	06.19.38	4	Short Stories	Narrative fiction told in concise formats, often including structure, pacing, and theme breakdowns.
1.0	06.19.38.75.26	06.19.38.75	5	Mini	Delivers a shorter or condensed version of a traditionally longer content type.
1.0	06.19.38.75.48	06.19.38.75	5	Storytime	Shares a personal or fictional narrative with a hook, pacing, and emotional arc.
1.0	06.19.38.76	06.19.38	4	Novels	Explores longform storytelling, plot arcs, and genre theory through reader or writer lenses.
1.0	06.19.38.76.04	06.19.38.76	5	Breakdown	Dissects a topic into parts for clarity, often using visuals or step-by-step commentary.
1.0	06.19.38.76.19	06.19.38.76	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	06.19.39	06.19	3	Poetry	Creative or instructional poetry content — includes writing, reading, and analysis.
1.0	06.19.39.77	06.19.39	4	Spoken Word	Performance poetry or narrative delivered aloud, often with rhythm, emotion, and social commentary.
1.0	06.19.39.77.30	06.19.39.77	5	Performance	Content where the creator performs music, art, theater, or physical feats for the audience.
1.0	06.19.39.77.40	06.19.39.77	5	Recital	Performs a formal presentation of art — often music, poetry, or theater.
1.0	06.19.39.78	06.19.39	4	Written Verse	Examines poetry through meter, metaphor, form, and interpretation as written text.
1.0	06.19.39.78.24	06.19.39.78	5	Lists	Presents a ranked or grouped set of recommendations, facts, or ideas.
1.0	06.19.39.78.46	06.19.39.78	5	Showcase	Displays the features or value of a single product, creation, or talent.
1.0	07		1	Gaming	Game-focused content: let’s plays, walkthroughs, esports, game reviews. May include cultural commentary through games.
1.0	07.20	07	2	Gameplay & Streams	Real-time or recorded playthroughs and livestreamed sessions of video games.
1.0	07.20.40	07.20	3	Live Streams	Unscripted, real-time video content often used for interaction or immersion.
1.0	07.20.40.79	07.20.40	4	Competitive Play	Highlights high-stakes or ranked gaming, including strategy, commentary, and stakes.
1.0	07.20.40.79.25	07.20.40.79	5	Live	Content streamed in real-time, often interactive or unedited.
1.0	07.20.40.80	07.20.40	4	Casual Sessions	Relaxed or recreational playthroughs that prioritize fun, exploration, or storytelling.
1.0	07.20.40.80.59	07.20.40.80	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	07.20.41	07.20	3	Walkthroughs	Gameplay-oriented content guiding viewers through levels or strategies.
1.0	07.20.41.81	07.20.41	4	Story Guides	Explains plotlines, character arcs, or lore in narrative-driven games or media.
1.0	07.20.41.81.19	07.20.41.81	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	07.20.41.81.60	07.20.41.81	5	Walkthrough	Leads the viewer through a process, system, or game with detailed explanation.
1.0	07.20.41.82	07.20.41	4	Puzzle Solutions	Walks through logic, clues, or completion strategies for puzzles or challenge-based content.
1.0	07.20.41.82.52	07.20.41.82	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	07.20.41.82.56	07.20.41.82	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	07.21	07	2	Game Culture	Commentary, analysis, lore, fandom, and creative engagement with games beyond play.
1.0	07.21.42	07.21	3	Game Reviews	Subjective or comparative video game content including opinion or performance.
1.0	07.21.42.83	07.21.42	4	New Releases	Reviews or previews just-launched games, features, or products with early impressions.
1.0	07.21.42.83.18	07.21.42.83	5	First Impressions	Initial reactions to a new product, trend, or experience — usually unfiltered.
1.0	07.21.42.83.41	07.21.42.83	5	Reviews	Evaluates and shares opinions on a product, service, or media item.
1.0	07.21.42.84	07.21.42	4	Retro Games	Covers gameplay, reviews, or analysis of older titles with historical or nostalgic framing.
1.0	07.21.42.84.09	07.21.42.84	5	Comparison	Contrasts two or more options, tools, products, or perspectives.
1.0	07.21.42.84.38	07.21.42.84	5	Recap	Summarizes key events, lessons, or takeaways from a larger experience or episode.
1.0	07.21.43	07.21	3	Esports	Competitive gaming content including matches, highlights, analysis, or commentary.
1.0	07.21.43.85	07.21.43	4	Tournaments	Documents competitive gaming events with match breakdowns, brackets, or highlight commentary.
1.0	07.21.43.85.22	07.21.43.85	5	Highlight	Shows standout or peak moments from a longer piece of content or event.
1.0	07.21.43.85.27	07.21.43.85	5	Montage	A fast-paced edit showing a sequence of related visuals or actions, often set to music.
1.0	07.21.43.86	07.21.43	4	Player Profiles	Features notable players, their play style, background, and achievements in competitive spaces.
1.0	07.21.43.86.03	07.21.43.86	5	Behind-the-Scenes	Reveals the process or preparation behind a finished product or performance.
1.0	07.21.43.86.23	07.21.43.86	5	Interview	Features a conversation between host and guest(s) to extract insight or perspective.
1.0	08		1	Business & Finance	Work, money, entrepreneurship. Includes investing, startup advice, product strategy, consumer behavior.
1.0	08.22	08	2	Investing & Markets	Strategic content around stocks, crypto, real estate, or market analysis.
1.0	08.22.44	08.22	3	Stock Trading	Content about buying, selling, or analyzing stock market and equity assets.
1.0	08.22.44.87	08.22.44	4	Technical Analysis	Evaluates financial markets using price patterns, charts, and historical behavior.
1.0	08.22.44.87.02	08.22.44.87	5	Analysis	Evaluates or interprets a subject through critical reasoning or structured breakdown.
1.0	08.22.44.87.52	08.22.44.87	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	08.22.44.88	08.22.44	4	Fundamental Analysis	Assesses the intrinsic value of stocks or assets using business metrics or financial data.
1.0	08.22.44.88.04	08.22.44.88	5	Breakdown	Dissects a topic into parts for clarity, often using visuals or step-by-step commentary.
1.0	08.22.44.88.15	08.22.44.88	5	Explained	Simplifies a topic or concept through accessible language and examples.
1.0	08.22.45	08.22	3	Cryptocurrency	Content about cryptocurrency markets, trading tools, and economic implications.
1.0	08.22.45.89	08.22.45	4	Crypto Trading	Shows how to buy, sell, and interpret trends in digital currencies, often in real time.
1.0	08.22.45.89.19	08.22.45.89	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	08.22.45.89.25	08.22.45.89	5	Live	Content streamed in real-time, often interactive or unedited.
1.0	08.22.45.90	08.22.45	4	NFT Markets	Explores NFT platforms, collections, trends, and investment logic around digital assets.
1.0	08.22.45.90.24	08.22.45.90	5	Lists	Presents a ranked or grouped set of recommendations, facts, or ideas.
1.0	08.22.45.90.41	08.22.45.90	5	Reviews	Evaluates and shares opinions on a product, service, or media item.
1.0	08.23	08	2	Entrepreneurship	Content about starting or building businesses, products, or monetizable services.
1.0	08.23.46	08.23	3	Startups	Content about launching, scaling, or reflecting on early-stage businesses.
1.0	08.23.46.91	08.23.46	4	Business Plans	Breaks down or builds frameworks for startups, from mission to monetization.
1.0	08.23.46.91.06	08.23.46.91	5	Case Study	Presents a real-world example to explain how something worked or failed.
1.0	08.23.46.91.19	08.23.46.91	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	08.23.46.92	08.23.46	4	Funding Strategies	Explains how founders raise capital, pitch investors, or structure early-stage financing.
1.0	08.23.46.92.31	08.23.46.92	5	Pitch	Proposes an idea, product, or plan in a persuasive and structured format.
1.0	08.23.46.92.52	08.23.46.92	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	08.23.47	08.23	3	Business Skills	Instructional content about workplace tools, soft skills, or operational processes.
1.0	08.23.47.93	08.23.47	4	Marketing Tactics	Shares tools and campaigns to acquire users, drive traffic, or increase engagement.
1.0	08.23.47.93.20	08.23.47.93	5	Hack	Shows a shortcut or unconventional method to achieve a result quickly or efficiently.
1.0	08.23.47.93.56	08.23.47.93	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	08.23.47.94	08.23.47	4	Leadership Training	Offers skills and insights to develop leadership behavior, decision-making, and management.
1.0	08.23.47.94.23	08.23.47.94	5	Interview	Features a conversation between host and guest(s) to extract insight or perspective.
1.0	08.24	08	2	Digital Ventures	Online product-building content — includes SaaS, tools, no-code, or startup projects.
1.0	08.24.48	08.24	3	Online Businesses	Content about monetizing digital products, platforms, or Creator businesses.
1.0	08.24.48.95	08.24.48	4	E-Commerce	Covers storefronts, product launches, fulfillment, and digital retail best practices.
1.0	08.24.48.95.45	08.24.48.95	5	Setup	Shows how tools, environments, or systems are arranged and optimized.
1.0	08.24.48.95.56	08.24.48.95	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	08.24.48.96	08.24.48	4	Affiliate Marketing	Explains how creators or businesses earn income by linking or promoting third-party products.
1.0	08.24.48.96.19	08.24.48.96	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	08.24.48.96.52	08.24.48.96	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	08.24.49	08.24	3	Content Monetization	Teaches how to monetize digital content, platforms, or creator businesses.
1.0	08.24.49.97	08.24.49	4	Ad Revenue	Shows how creators generate income through platform-based advertising models.
1.0	08.24.49.97.02	08.24.49.97	5	Analysis	Evaluates or interprets a subject through critical reasoning or structured breakdown.
1.0	08.24.49.97.20	08.24.49.97	5	Hack	Shows a shortcut or unconventional method to achieve a result quickly or efficiently.
1.0	08.24.49.98	08.24.49	4	Subscriptions	Explores monetization through recurring payment models like Patreon or platform memberships.
1.0	08.24.49.98.49	08.24.49.98	5	Strategy	Outlines a structured plan of action to achieve a result, often in games or business.
1.0	08.24.49.98.56	08.24.49.98	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	08.25	08	2	Personal Finance	Money management content focused on budgeting, saving, debt, credit, and financial literacy.
1.0	08.25.50	08.25	3	Budgeting	How-to or story-driven content on managing personal budgets and expenses.
1.0	08.25.50.99	08.25.50	4	Expense Tracking	Teaches systems and tools for monitoring personal or business spending habits.
1.0	08.25.50.99.52	08.25.50.99	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	08.25.50.99.59	08.25.50.99	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	08.25.51	08.25	3	Saving Strategies	Savings strategies, systems, or personal finance habits shared or taught.
1.0	09		1	Health & Wellness	Physical and mental wellness: workouts, therapy, routines, food as function, sleep, self-care.
1.0	09.26	09	2	Physical Health	Content about mobility, strength, recovery, and the maintenance of physical well-being.
1.0	09.26.52	09.26	3	Nutrition	Content about diet, food choice, meal planning, and body-health relationships.
1.0	09.26.53	09.26	3	Exercise Routines	Physical movement routines designed for wellness, performance, or therapy.
1.0	09.27	09	2	Mental Health	Content exploring therapy, trauma, emotions, stress management, and inner experience.
1.0	09.27.54	09.27	3	Therapy Techniques	Guidance on therapy techniques used in clinical or personal mental health settings.
1.0	09.27.55	09.27	3	Mindfulness Practices	Exercises and practices for regulating thoughts, emotions, and awareness.
1.0	09.28	09	2	Alternative Wellness	Spiritual or non-medical practices like breathwork, energy healing, and ritual wellness.
1.0	09.28.56	09.28	3	Holistic Healing	Covers energy healing, herbal approaches, spiritual cleanses, or metaphysical wellness.
1.0	09.28.57	09.28	3	Spiritual Wellness	Explores spiritual identity, practice, and reflection through religious or cultural lenses.
1.0	10		1	Social & Community	Content centered on identity, advocacy, social groups, activism, and shared values or struggles.
1.0	10.29	10	2	Vlogs & Daily Life	Personal narrative content capturing routine, identity, or ambient moments of life.
1.0	10.29.58	10.29	3	Personal Vlogs	Captures a person’s lifestyle, routines, or thoughts in a personal, day-in-the-life format.
1.0	10.29.59	10.29	3	Family Vlogs	Centers around family life, children, or household dynamics in a vlog or storytelling style.
1.0	10.30	10	2	Activism & Causes	Content centered on advocacy, protest, or systemic critique — personal or collective.
1.0	10.30.60	10.30	3	Advocacy	Raises awareness about social causes, injustice, or community transformation.
1.0	10.30.61	10.30	3	Awareness Campaigns	Supports collective or personal movements through education, stories, or calls to action.
1.0	10.31	10	2	Fandoms & Groups	Content for and about niche communities and identity-driven fan cultures.
1.0	10.31.62	10.31	3	Fan Content	Creates content about and for fan communities, often tied to pop culture or shared identity.
1.0	10.31.63	10.31	3	Community Discussions	Engages in discussion, reflection, or commentary about group identity or culture.
1.0	10.32	10	2	Social Media	Content about growing, navigating, or critiquing platform mechanics and creator strategy.
1.0	10.32.64	10.32	3	Platform Strategies	Analyzes platform mechanics, growth strategy, or optimization methods for social media.
1.0	10.32.65	10.32	3	Influencer Content	Discusses creator economics, brand deals, and sponsorships from an influencer perspective.
1.0	11		1	Sports	Physical competition and athleticism: analysis, fan content, technique breakdowns, team culture.
1.0	11.33	11	2	Competitive Sports	Coverage of athletic competition — includes commentary, highlights, or match analysis.
1.0	11.33.66	11.33	3	Team Sports	Shows drills, team routines, or technical breakdowns for traditional team-based sports.
1.0	11.33.67	11.33	3	Individual Sports	Focuses on individual sport techniques, achievements, and self-driven performance.
1.0	11.34	11	2	Sports Training	Performance training, technique drills, and skill-building in a specific sport.
1.0	11.34.68	11.34	3	Fitness Training	Teaches or improves technical athletic skill, often through drills or coaching.
1.0	11.34.69	11.34	3	Skill Development	Demonstrates technique or learning strategies applied to acquiring a skill.
1.0	12		1	Pets & Animals	Content featuring or focused on animals. Can be humorous, educational, or care-oriented.
1.0	12.35	12	2	Pet Care	Practical care content focused on feeding, grooming, health, and pet behavior.
1.0	12.35.70	12.35	3	Pet Health	Explains pet nutrition, health conditions, or veterinary routines for animals.
1.0	12.35.71	12.35	3	Pet Grooming	Demonstrates washing, clipping, or styling pets with grooming tools and products.
1.0	12.36	12	2	Pet Life	Content centered on animals as companions — vlogs, emotions, humor, and daily interactions.
1.0	12.36.72	12.36	3	Pet Vlogs	Centers pet personalities in daily life, adventures, or themed content.
1.0	12.36.73	12.36	3	Pet Entertainment	Shares humorous, playful, or emotional animal content meant for entertainment.
1.0	10.31.62.124.15	10.31.62.124	5	Explained	Simplifies a topic or concept through accessible language and examples.
1.0	10.31.62.123.56	10.31.62.123	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	10.31.62.123.46	10.31.62.123	5	Showcase	Displays the features or value of a single product, creation, or talent.
1.0	10.30.61.122.23	10.30.61.122	5	Interview	Features a conversation between host and guest(s) to extract insight or perspective.
1.0	10.30.61.122.59	10.30.61.122	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	10.30.61.121.48	10.30.61.121	5	Storytime	Shares a personal or fictional narrative with a hook, pacing, and emotional arc.
1.0	10.30.60.120.05	10.30.60.120	5	Campaign	Showcases a coordinated content effort, usually tied to a launch, cause, or partnership.
1.0	10.30.60.119.11	10.30.60.119	5	Debate	Shows how to make or build something step by step using accessible materials.
1.0	10.30.60.119.01	10.30.60.119	5	Advocacy	Content designed to raise awareness or drive action around social or political causes.
1.0	10.29.59.118.20	10.29.59.118	5	Hack	Shows a shortcut or unconventional method to achieve a result quickly or efficiently.
1.0	10.31.63.125.35	10.31.63.125	5	Q&A	Answers audience-submitted or pre-generated questions in a conversational tone.
1.0	10.31.62.124.11	10.31.62.124	5	Debate	Shows how to make or build something step by step using accessible materials.
1.0	10.30.60.120.15	10.30.60.120	5	Explained	Simplifies a topic or concept through accessible language and examples.
1.0	05.15.91.182.48	05.15.91.182	5	Storytime	Shares a personal or fictional narrative with a hook, pacing, and emotional arc.
1.0	10.29.59.118.52	10.29.59.118	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	09.27.55.110.26	09.27.55.110	5	Mini	Delivers a shorter or condensed version of a traditionally longer content type.
1.0	09.28.56.111.39	09.28.56.111	5	Recipes	Teaches how to prepare a specific dish with ingredients, steps, and tips.
1.0	09.28.56.111.14	09.28.56.111	5	DIY	Demonstrates how a product or process works, often in real-time.
1.0	09.28.56.112.44	09.28.56.112	5	Session	Captures an unbroken time block of activity like music, drawing, or discussion.
1.0	09.28.56.112.15	09.28.56.112	5	Explained	Simplifies a topic or concept through accessible language and examples.
1.0	09.28.57.113.56	09.28.57.113	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	10.31.63.125.43	10.31.63.125	5	Roundup	Aggregates several examples, trends, or pieces of news into one piece of content.
1.0	09.28.57.113.59	09.28.57.113	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	10.29.58.115.59	10.29.58.115	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	10.29.58.115.53	10.29.58.115	5	Tour	Takes the viewer through a space, platform, or experience step by step.
1.0	10.29.58.116.58	10.29.58.116	5	Update	Provides a status report or change log on an ongoing story, project, or journey.
1.0	10.29.58.116.48	10.29.58.116	5	Storytime	Shares a personal or fictional narrative with a hook, pacing, and emotional arc.
1.0	10.29.59.117.59	10.29.59.117	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	10.29.59.117.27	10.29.59.117	5	Montage	A fast-paced edit showing a sequence of related visuals or actions, often set to music.
1.0	09.28.57.114.37	09.28.57.114	5	Reading	Content involving someone reading aloud — books, comments, scripts, or essays.
1.0	10.31.63.126.38	10.31.63.126	5	Recap	Summarizes key events, lessons, or takeaways from a larger experience or episode.
1.0	10.31.63.126.25	10.31.63.126	5	Live	Content streamed in real-time, often interactive or unedited.
1.0	10.32.64.127.52	10.32.64.127	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	11.34.69.138.19	11.34.69.138	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	11.34.69.138.02	11.34.69.138	5	Analysis	Evaluates or interprets a subject through critical reasoning or structured breakdown.
1.0	12.35.70.139.52	12.35.70.139	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	12.35.70.139.19	12.35.70.139	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	12.35.70.140.15	12.35.70.140	5	Explained	Simplifies a topic or concept through accessible language and examples.
1.0	12.35.70.140.35	12.35.70.140	5	Q&A	Answers audience-submitted or pre-generated questions in a conversational tone.
1.0	12.35.71.141.56	12.35.71.141	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	12.35.71.141.59	12.35.71.141	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	12.35.71.142.52	12.35.71.142	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	12.35.71.142.13	12.35.71.142	5	Demo	Explores a topic in high detail, usually beyond surface-level information.
1.0	12.36.72.143.59	12.36.72.143	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	12.36.72.143.27	12.36.72.143	5	Montage	A fast-paced edit showing a sequence of related visuals or actions, often set to music.
1.0	12.36.72.144.53	12.36.72.144	5	Tour	Takes the viewer through a space, platform, or experience step by step.
1.0	12.36.72.144.48	12.36.72.144	5	Storytime	Shares a personal or fictional narrative with a hook, pacing, and emotional arc.
1.0	12.36.73.145.10	12.36.73.145	5	Compilation	Combines multiple short clips or moments into a single cohesive video.
1.0	11.34.69.137.13	11.34.69.137	5	Demo	Explores a topic in high detail, usually beyond surface-level information.
1.0	11.34.69.137.56	11.34.69.137	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	11.34.68.136.50	11.34.68.136	5	Test	Puts a product, method, or assumption through a structured trial to evaluate results.
1.0	11.34.68.136.56	11.34.68.136	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	10.32.64.127.20	10.32.64.127	5	Hack	Shows a shortcut or unconventional method to achieve a result quickly or efficiently.
1.0	10.32.64.128.19	10.32.64.128	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	10.32.64.128.56	10.32.64.128	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	10.32.65.129.59	10.32.65.129	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	10.32.65.129.46	10.32.65.129	5	Showcase	Displays the features or value of a single product, creation, or talent.
1.0	10.32.65.130.41	10.32.65.130	5	Reviews	Evaluates and shares opinions on a product, service, or media item.
1.0	10.32.65.130.21	10.32.65.130	5	Haul	Displays and discusses items recently purchased, often with mini-reviews.
1.0	09.27.55.110.56	09.27.55.110	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	11.33.66.131.22	11.33.66.131	5	Highlight	Shows standout or peak moments from a longer piece of content or event.
1.0	11.33.66.132.04	11.33.66.132	5	Breakdown	Dissects a topic into parts for clarity, often using visuals or step-by-step commentary.
1.0	11.33.66.132.02	11.33.66.132	5	Analysis	Evaluates or interprets a subject through critical reasoning or structured breakdown.
1.0	11.33.67.133.25	11.33.67.133	5	Live	Content streamed in real-time, often interactive or unedited.
1.0	11.33.67.133.38	11.33.67.133	5	Recap	Summarizes key events, lessons, or takeaways from a larger experience or episode.
1.0	11.33.67.134.56	11.33.67.134	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	11.33.67.134.52	11.33.67.134	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	11.34.68.135.59	11.34.68.135	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	11.33.66.131.27	11.33.66.131	5	Montage	A fast-paced edit showing a sequence of related visuals or actions, often set to music.
1.0	09.27.55.109.44	09.27.55.109	5	Session	Captures an unbroken time block of activity like music, drawing, or discussion.
1.0	09.27.54.107.15	09.27.54.107	5	Explained	Simplifies a topic or concept through accessible language and examples.
1.0	09.27.54.108.44	09.27.54.108	5	Session	Captures an unbroken time block of activity like music, drawing, or discussion.
1.0	11.33.66.131	11.33.66	4	Soccer Highlights	Edits or commentates on key plays, goals, or moments from recent or iconic soccer matches.
1.0	10.32.65.130	10.32.65	4	Brand Collabs	Content showcasing or reviewing a sponsored partnership between creator and brand.
1.0	10.32.65.129	10.32.65	4	Lifestyle Posts	Presents aspirational or everyday content reflecting a creator’s identity and routines.
1.0	10.32.64.128	10.32.64	4	YouTube Growth	Teaches optimization strategies for discoverability, retention, and monetization on YouTube.
1.0	10.32.64.127	10.32.64	4	TikTok Tips	Gives tactical advice for growth, visibility, or content success on TikTok.
1.0	10.31.63.126	10.31.63	4	Group Events	Recaps or plans events attended by online or IRL communities, often with social value.
1.0	11.33.66.132	11.33.66	4	Basketball Plays	Breaks down offensive or defensive strategies, key moves, or standout performances in basketball.
1.0	10.31.63.125	10.31.63	4	Forum Chats	Captures or reenacts online conversations from group threads or message boards.
1.0	10.31.62.123	10.31.62	4	Cosplay Creations	Documents the design, build, and performance of character costumes from fandoms.
1.0	10.30.61.122	10.30.61	4	Equality Drives	Promotes access, rights, or representation for marginalized groups through campaigns or calls to action.
1.0	10.30.61.121	10.30.61	4	Health Awareness	Shares information on illness, conditions, or wellness campaigns to increase public understanding.
1.0	10.30.60.120	10.30.60	4	Environmental Causes	Highlights conservation, sustainability, or climate-focused education or activism.
1.0	10.30.60.119	10.30.60	4	Social Justice	Advocates for equality or systemic reform through storytelling, education, or direct action.
1.0	10.29.59.118	10.29.59	4	Parenting Moments	Captures daily life, reflections, or challenges of raising children.
1.0	10.31.62.124	10.31.62	4	Fan Theories	Analyzes fictional media to propose hidden meanings, predictions, or alternate interpretations.
1.0	10.29.59.117	10.29.59	4	Kid Adventures	Family-focused content showcasing play, learning, and outings from a child's perspective.
1.0	11.33.67.133	11.33.67	4	Tennis Matches	Shows full matches, rally highlights, or tactical breakdowns of pro or amateur tennis.
1.0	11.34.68.135	11.34.68	4	Endurance Runs	Covers long-distance running routines, training, and mental strategies for stamina.
1.0	05.15.91.181.15	05.15.91.181	5	Explained	Simplifies a topic or concept through accessible language and examples.
1.0	05.15.91.181.12	05.15.91.181	5	Deep Dive	Presents two or more sides of an argument, often in direct or live conversation.
1.0	12.36.73.145.34	12.36.73.145	5	Prank	Content where one party surprises or tricks another for comedic effect.
1.0	12.36.73.146	12.36.73	4	Trick Shows	Demonstrates trained animal behaviors, performance routines, or obedience challenges.
1.0	12.36.73.145	12.36.73	4	Funny Moments	Showcases humorous, unexpected, or charming clips involving pets or animals.
1.0	12.36.72.144	12.36.72	4	Pet Adventures	Captures outdoor or travel-based experiences through the lens of a pet’s life.
1.0	11.33.67.134	11.33.67	4	Golf Techniques	Teaches grip, swing, aim, or short game fundamentals in golf instruction or analysis.
1.0	12.36.72.143	12.36.72	4	Daily Routines	Walks through an animal’s (often pet’s) schedule, habits, or personality-driven behaviors.
1.0	12.35.71.141	12.35.71	4	Dog Grooming	Demonstrates how to wash, trim, or maintain dogs’ coats, nails, and hygiene.
1.0	12.35.70.140	12.35.70	4	Vet Tips	Shares veterinary knowledge about animal care, illness, and best practices.
1.0	12.35.70.139	12.35.70	4	Diet Advice	Gives nutritional guidance tailored to lifestyle, goals, or health conditions.
1.0	11.34.69.138	11.34.69	4	Swing Mechanics	Explains or refines swinging technique in sports like baseball, golf, or tennis.
1.0	11.34.69.137	11.34.69	4	Dribbling Drills	Teaches movement and control skills for sports like basketball or soccer through guided practice.
1.0	11.34.68.136	11.34.68	4	Power Lifting	Showcases strength-based lifts like squats, deadlifts, or bench press, often in training or competition.
1.0	12.35.71.142	12.35.71	4	Cat Grooming	Shows techniques and products for caring for feline fur, nails, or health.
1.0	09.27.55.109.19	09.27.55.109	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	10.29.58.116	10.29.58	4	Life Updates	Creator-led content reflecting on personal change, milestones, or ongoing life events.
1.0	09.28.57.114	09.28.57	4	Astrology Insights	Interprets charts, signs, or transits to give spiritual or personal growth commentary.
1.0	08.25.51.101.32	08.25.51.101	5	Planning	Content that walks through goal-setting, strategy, or logistical prep for future actions.
1.0	08.25.51.101.15	08.25.51.101	5	Explained	Simplifies a topic or concept through accessible language and examples.
1.0	08.25.51.102.52	08.25.51.102	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	08.25.51.102.07	08.25.51.102	5	Challenge	Content built around a task, constraint, or dare, often designed to test limits or entertain.
1.0	09.26.52.103.19	09.26.52.103	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	09.26.52.103.39	09.26.52.103	5	Recipes	Teaches how to prepare a specific dish with ingredients, steps, and tips.
1.0	08.25.50.100.17	08.25.50.100	5	FAQ	Fan-edited footage focusing on a specific performer, moment, or angle during a live event.
1.0	09.26.52.104.41	09.26.52.104	5	Reviews	Evaluates and shares opinions on a product, service, or media item.
1.0	09.26.53.105.56	09.26.53.105	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	09.26.53.106.59	09.26.53.106	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	09.26.53.106.52	09.26.53.106	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	09.27.54.107.52	09.27.54.107	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	05.15.91.182.11	05.15.91.182	5	Debate	Shows how to make or build something step by step using accessible materials.
1.0	09.27.54.108.56	09.27.54.108	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	09.26.52.104.09	09.26.52.104	5	Comparison	Contrasts two or more options, tools, products, or perspectives.
